area,type,label,text,tags,loop,role,causal,addresses,sources,url,orgs,bills
Local production for local consumption,vision,Vision: Hawaii grows a growing share of the food it eats,"Participants described a 2050 in which the import model is replaced by locally grown food, kupuna crops are abundant, food gardens and food forests are normal in community and home design, and disaster preparedness means strong local production capacity and supply chains rather than stockpiling. One pair set the marker at growing 50 percent of Hawaii's food locally by 2035.",vision|production|self-sufficiency,,,,,notes,,,
Local production for local consumption,space,The state has a production goal with no baseline or recurring measure,"Act 151 of 2019 directed a plan to double local food production by 2030 but set no baseline, unit or reporting requirement. The Census of Agriculture every five years is the closest proxy, and the Aloha+ dashboard shows the same 2022 sales figure as both production and consumption. The proportion of food produced and consumed locally, the 2050 Plan's indicator, has not been measured systematically since the state statistics bulletin ended in 2011.",challenge-space|metrics|production,,Central framing,,,a1|goals,,,Local Food System Development
Local production for local consumption,challenge,Affordability is the number one barrier to entering agriculture,"Participants framed the constraint as cost of living: young people want to farm, but the cost of land, water and housing makes an agricultural livelihood hard to sustain, and farmworkers' quality of life is rarely counted. Wages, lease terms and the price of land were named alongside the price of food.",cost-of-living|land|labor,1/4,Entry barrier,"When entering agriculture is unaffordable, fewer producers start or stay, so land stays fallow and production does not grow.",,notes,,,Farmer Support
Local production for local consumption,challenge,Fallow state and county land is not moving into production,"Participants expect rising food prices, SNAP reductions and food bank funding losses to raise demand for converting state and county land to food production, and asked the Agribusiness Development Corporation, the Department of Agriculture and the Department of Land and Natural Resources to plan how to get producers onto land quickly with irrigation and equipment.",land|public-land|fallow,2/4,Land supply,"When public land stays fallow, the producers who could enter have nowhere to grow, which keeps production flat.",Affordability is the number one barrier to entering agriculture,notes,,,Ag Land
Local production for local consumption,challenge,Production cannot be tracked in consistent units,"No public series measures Act 151 production in dollars, pounds or acres year to year; the Census of Agriculture reports sales in dollars every five years, and the Cropland Data Layer gives acreage only from 2023. Without a series, growth cannot be distinguished from price inflation or from consolidation among a few large operations.",metrics|data,3/4,Measurement gap,"When production cannot be measured, neither policy nor investment can be judged, and the goal stays rhetorical.",Fallow state and county land is not moving into production,a1,,,
Local production for local consumption,challenge,Institutional buyers are not yet a reliable market,State agencies required to buy local sit between 4 and 7 percent of food cost where the dollars are large; the Department of Education alone spends about $77 million a year on food. Producers cannot scale into a market that has not materialized.,procurement|markets,4/4,Demand signal,"When institutional demand does not materialize, producers lack the contracts that would justify entering or expanding, which returns to affordability.",Production cannot be tracked in consistent units,goals|a1,,,Farm to School
Local production for local consumption,strategy,Build a recurring production measure paired with a farm-distribution measure,"Assemble an annual production series from data that already exists (Cropland Data Layer acreage, state and USDA value series) and pair it with farm counts by sales and size class, so growth can be read as broad or concentrated. Develop it with the Department of Agriculture and Biosecurity's statistics staff.",metrics|data,,,,Production cannot be tracked in consistent units;The state has a production goal with no baseline or recurring measure,a1,,Department of Agriculture and Biosecurity|DBEDT,
Local production for local consumption,strategy,Move public land to producers with the supports they need,"Convert fallow state and county land to food production with irrigation, equipment and long leases in place; participants proposed 99-year one-dollar regenerative leases with a focus on Native Hawaiian and ohana farms, transfer of 100,000 acres of public and ceded lands within five years, and taxing ag-zoned land held fallow or for speculation.",land|policy,,,,Fallow state and county land is not moving into production;Affordability is the number one barrier to entering agriculture,notes,,Agribusiness Development Corporation|Department of Land and Natural Resources,Ag Land
Local production for local consumption,strategy,Make farming a livable job,"Participants proposed a universal basic income for regenerative food producers, housing vouchers for farmers as essential workers alongside teachers and health workers, and support for farmworkers' healthcare and housing.",labor|cost-of-living,,,,Affordability is the number one barrier to entering agriculture,notes,,,Farmer Support
Local production for local consumption,initiative,GoFarm Hawaii beginning-farmer training and land access survey,"GoFarm Hawaii trains beginning farmers across the islands and, with the statewide initiative, fielded a land access survey whose findings were forthcoming at the time of the convening.",training|land,,,,,synth|a1,,GoFarm Hawaii,
Local production for local consumption,initiative,"Nation of Hawaii, GoFarm and Purple Maia land-back-to-production cohort","A cohort run by Nation of Hawaii, GoFarm Hawaii and Purple Maia on turning land back into food production, including how to reduce barriers such as land cost and archaeological-site regulation where lineal descendants vote to restore traditional agriculture.",land-justice|training,,,,,notes,,Purple Maia|GoFarm Hawaii,
Local production for local consumption,outcome,"Outcome: production measured annually and rising in volume, not only in price","A public series in consistent units, updated yearly, with farm counts by size so the room can see who benefits from growth.",metrics,,,,Build a recurring production measure paired with a farm-distribution measure,a1,,,
Institutional purchasing and the missing middle,vision,Vision: public institutions anchor the local market,"Participants want the purchasing power of schools, hospitals, prisons and hotels turned toward local producers: 60 percent local food in all schools by 2035 with annual benchmarks, five- to ten-year procurement contracts with producers, hotels sourcing 35 percent of ingredients locally by 2035, and a Local Food Transition Fund paid into by major importers and hotel chains.",vision|procurement,,,,,notes,,,
Institutional purchasing and the missing middle,space,Statutory purchasing data exists but is not consolidated or comparable,"Acts 175 and 176 produce annual reports, but each agency files a separate PDF on its own basis (all food, produce only, food served, calendar or fiscal or school year) and no public source compiled them until this site did. The shares are not comparable across agencies.",challenge-space|procurement|data,,Central framing,,,a1|goals,,,
Institutional purchasing and the missing middle,challenge,The Department of Education has no centralized way to track local spending,"The State Auditor's March 2026 report found handwritten ledgers, no centralized software, inconsistent definitions of local (mainland lettuce washed on Maui counted), and about $1 million a year of federal produce funds left unspent. The Department is at 6.5 percent against a 30 percent target for 2030.",procurement|schools|data,1/3,Tracking,"When the largest buyer cannot see its own local spending, it cannot manage toward the target, and suppliers get no reliable signal.",,goals,,,Farm to School
