name,sector,org_type,activities,region,themes,description,url,ein
Oahu Resource Conservation and Development Council,Coordination,Nonprofit,Statewide planning|Track and analyze|Convening|Dissemination,Statewide,Good Food Governance,"Convenes the Statewide Food Systems Coordination initiative: monthly coordination call, state food systems working group, data landscape convenings, federal funding and land access scans, and collection of other states' food system plans.",,
Hawaii Green Growth,Dashboard,Nonprofit,Public dashboard|Baseline data|Evaluate,Statewide,Good Food Governance,"Backbone of the Aloha+ Challenge Dashboard, the state's goals tracker, jointly led with the State, the four counties and the Office of Hawaiian Affairs; the UN's only island Local2030 hub; Dashboard Lab supports updates.",https://alohachallenge.hawaii.gov/,
UH West Oahu Ke O Mau Center,University,University,Research and needs|Standards|Evaluate,Statewide,Education & Food Literacy|Good Food Governance,"Ke O Mau Center for Sustainable Island Food Systems and the Sustainable Community Food Systems program: indicator and metric frameworks aligned to the UN SDGs, a Delphi ranking of food-security indicators, metrics contributed to Aloha+.",,
Transforming Hawaii's Food System Together,University,University,Research and needs|Convening|Dissemination|Evaluate,Statewide,Good Food Governance|Food System Resilience,"Priority project of the Ke O Mau Center with fiscal administration by the Hawaii Public Health Institute: community calendar, annual summit, plans catalog, food system mapping, social network analysis, vulnerability and resilience assessments.",https://transforminghawaiifoodsystem.org/,
Hawaii Public Health Institute,Nonprofit,Nonprofit,Fiscal sponsorship|Research and needs,Statewide,Public Health & Nutrition,"Fiscal sponsor of Transforming Hawaii's Food System Together; partner in the 2022 to 2023 statewide Food System Needs Assessment.",,
Purple Maia,Nonprofit,Nonprofit,Research and needs|Baseline data|Track and analyze|Public dashboard|Policy tracking,Statewide,Ecological Sustainability|Good Food Governance,"KILO Dashboard of environmental sensor data across partner sites with generated narratives; Hawaii Food+ Policy team tracking food bills since 2021 with a public 2026 bill tracker and a policy incubator.",https://www.foodpluspolicy.com/2026-food-tools,
Maui County Department of Agriculture,County,Government,Research and needs|Baseline data|Track and analyze|Public dashboard|Evaluate,Maui County,Household Food Security|Good Food Governance,"The state's only county agriculture department: farmer needs assessments every three to five years, baseline metrics for the Food and Nutrition Security Plan, quarterly food security tracking with Maui Food Bank, a Food System Dashboard and Food Access Map in development, the Maui Nui Food Summit.",https://www.mauicounty.gov/,
County of Hawaii Department of Research and Development,County,Government,Research and needs|Baseline data,Hawaii County,Good Food Governance,"Funds food and agriculture projects and is developing a county Agrifood System Plan with district data snapshots, a programs directory, an action-plan tracker and an updated value chain dashboard.",,
City and County of Honolulu,County,Government,Research and needs,Honolulu County,Good Food Governance,"Office of Climate Change, Sustainability and Resiliency and Office of Economic Revitalization appear as partners in stewards' data work; a 2024 review of local purchasing by county departments.",,
Hawaii Investment Ready,Nonprofit,Nonprofit,Research and needs|Baseline data,Statewide,Infrastructure & Capital Investment,"2022 Hawaii Capital Scan on food systems; a food systems investing framework with systems mapping, to be a public resource.",https://www.hiready.net/,
Hawaii Good Food Alliance,Nonprofit,Nonprofit,Research and needs|Baseline data|Track and analyze|Public dashboard|Evaluate,Statewide,Public Health & Nutrition|Sustainable Economic Development & Local Food Economies,"Policy and advocacy surveys, alliance-wide assessments, Food is Medicine programs with a monitoring and evaluation model, USDA Regional Food Business Center planning and grants, the Hawaii Good Food Fund, the Farmers Markets and Food Hubs Map, the Farmers Resource Hub.",https://www.hawaiigoodfoodalliance.org/resources,834503785
Hawaii Foodbank,Food bank,Nonprofit,Baseline data|Track and analyze|Dissemination|Evaluate|TEFAP eligible recipient agency,Honolulu County|Kauai County,Household Food Security|Food System Resilience,"Feeding America partner and the state's largest food distributor; commissions the State of Food Insecurity in Hawaii survey with the other banks; Neighbor Connector intake; TEFAP eligible recipient agency for Honolulu and, through its Kauai branch, Kauai.",https://hawaiifoodbank.org/who-we-are/reports/,990220699
Maui Food Bank,Food bank,Nonprofit,Track and analyze|TEFAP eligible recipient agency,Maui County,Household Food Security,"Maui County's food bank and TEFAP eligible recipient agency; tracks quarterly food security with the county; co-commissions the statewide survey.",https://mauifoodbank.org/,990315110
The Food Basket,Food bank,Nonprofit,Track and analyze|TEFAP eligible recipient agency,Hawaii County,Household Food Security,"Hawaii Island's food bank and TEFAP eligible recipient agency; co-commissions the statewide survey; carries GusNIP produce prescription awards.",,260349475
Aloha Harvest,Nonprofit,Nonprofit,Track and analyze,Honolulu County,Food Waste,"Food rescue and redistribution on Oahu; the second-largest distributor in the recorded network.",,990344209
Hawaii Data Collaborative,Nonprofit,Nonprofit,Research and needs|Baseline data|Track and analyze|Public dashboard|Evaluate,Statewide,Household Food Security,"Promotes data-guided decision making: Hawaii Population Model, a 211 dashboard with Aloha United Way, a 2024 Data Landscape Report; partners with Hawaii Foodbank on Service Insights intake.",https://www.hawaiidata.org/,
Aloha United Way,Nonprofit,Nonprofit,Baseline data|Track and analyze|Dissemination,Statewide,Household Food Security|Social Equity & Food Justice,"Stewards the 211 information line and the ALICE reports for Hawaii, both county-resolved and borrowed by other stewards.",https://www.auw.org/about/alice-initiative/alice-reports/,
Department of Business Economic Development and Tourism,State agency,Government,Baseline data|Track and analyze|Public dashboard,Statewide,Sustainable Economic Development & Local Food Economies,"State of Hawaii Data Book, the Agriculture Sector Dashboard drawing on the Census of Agriculture, and the Genuine Progress Indicator.",https://dbedt.hawaii.gov/economic/agriculture-dashboard/,
Department of Agriculture and Biosecurity,State agency,Government,Research and needs|Baseline data|Track and analyze|Public dashboard,Statewide,Sustainable Economic Development & Local Food Economies|Biosecurity,"Market Analysis and News Branch compiles agricultural statistics with USDA NASS and publishes dashboards including cattle shipments; owner of the Act 151 strategic plan and the Act 185 food hub pilot report due 2027; farm profitability analysis 2025.",https://dab.hawaii.gov/,
Office of Community Services,State agency,Government,TEFAP state agency,Statewide,Household Food Security,"In the Department of Labor and Industrial Relations; administers TEFAP and the Community Services Block Grant, contracting one eligible recipient agency per county and publishing the county split of administrative funds.",https://labor.hawaii.gov/ocs/,
Department of Education,State agency,Government,Reporting under HRS 302A-405.6,Statewide,Education & Food Literacy,"School Food Services Branch; about $77 million a year in food purchases and the 30 percent local target for 2030; annual Local Food as a Percent of Food Costs report.",https://hawaiipublicschools.org/data-reports/legislative-reports/,
Department of Health,State agency,Government,Reporting under HRS 27-8,Statewide,Public Health & Nutrition,"Reports local produce purchasing for the Hawaii State Hospital; the Hansen's Disease facility cannot separate local produce in its accounts; WIC state agency.",,
Department of Corrections and Rehabilitation,State agency,Government,Reporting under HRS 27-8,Statewide,Good Food Governance,"Reports local food purchasing for public prisons, about $10 million a year, and grows produce at its facilities.",https://dcr.hawaii.gov/publications/reports-to-legislature/,
Department of Hawaiian Home Lands,State agency,Government,Land inventory,Statewide,Secure & Affordable Land Access|Water Stewardship,"Administers Hawaiian home lands; lessees' water access and rates on Maui and Molokai were raised as a statewide coordination need.",https://dhhl.hawaii.gov/,
Agribusiness Development Corporation,State agency,Government,Land inventory,Statewide,Secure & Affordable Land Access,"Holds and leases state agricultural lands; named by participants for moving fallow land into production and for lease-length data.",,
Department of Land and Natural Resources,State agency,Government,Land inventory,Statewide,Secure & Affordable Land Access|Water Stewardship,"Holds state lands and water; named by participants for fallow land conversion and lease data.",,
Supersistence,Private,Private,Research and needs|Baseline data|Track and analyze|Public dashboard|Evaluate,Statewide,Good Food Governance,"Agrifood-systems consultancy: author of the Data Stewards landscape assessment and the A.2 plan and A.3 platform to follow; Hawaii Food Atlas tools (SNAP, food prices, port commerce, trade); bill tracking for the Hawaii Farmers Union United; data-systems reviews for food hubs and county purchasing.",https://hawaiifoodatlas.com,
Hawaii Farmers Union United,Nonprofit,Nonprofit,Policy tracking|Membership,Statewide,Fair Labor|Good Food Governance,"Farmer membership organization with a public bill-tracking system built by Supersistence.",https://www.hawaiifarmers.org/advocacy,
GoFarm Hawaii,University,University,Training|Research and needs,Statewide,Workforce Development|Secure & Affordable Land Access,"Beginning-farmer training program; a land access survey with the statewide initiative; a land-back-to-production cohort with Nation of Hawaii and Purple Maia.",https://gofarmhawaii.org/,
Malama Kauai,Nonprofit,Nonprofit,Baseline data,Kauai County,Household Food Security|Sustainable Economic Development & Local Food Economies,"Kauai community food systems programming and the county-scale data that comes with it.",,
Hawaii Appleseed Center for Law and Economic Justice,Nonprofit,Nonprofit,Research and needs,Statewide,Social Equity & Food Justice,"In-depth analysis of food access and equity policy.",,
UH College of Tropical Agriculture and Human Resilience,University,University,Research and needs,Statewide,Education & Food Literacy,"Research partner to the Hawaii Good Food Alliance; GET Local program.",,
Maui Nui Food Alliance,Nonprofit,Nonprofit,Research and needs,Maui County,Household Food Security,"Partner in the 2022 to 2023 statewide Food System Needs Assessment with Hawaii Investment Ready and the Hawaii Public Health Institute.",,
Feeding America,National network,Nonprofit,Funding|Food supply|Baseline data,National,Household Food Security,"National network; Hawaii Foodbank is the state partner; produces Map the Meal Gap and the Service Insights intake platform; the largest outside giver into the Hawaii set in the recorded flows.",,363673599
Nation of Hawaii,Community,Nonprofit,Training,Honolulu County,Biocultural Restoration|Secure & Affordable Land Access,"Runs the land-back-to-production cohort with GoFarm Hawaii and Purple Maia.",,
Hawaiian Earth Recycling,Private,Private,Composting,Honolulu County,Food Waste,"Named by participants as a circular-economy producer whose output could be tracked.",,
